,,,,,,,,,,, ,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note Date,Local Management Notes,Days since contact
Sylvia,Bakersfield,CVIN LLC,Active,Contacted,COLLECTION TEAM,WEEKLY,5/14/2026,"emailTrent, Seth, Lui, asking if they could help issuing a credit or revised invoice #00003036STB as promised by Steven, (bakersfield account)",,,,6
Josie,Bakersfield ,KERN ASPHALT,Active,Contacted,COLLECTION TEAM,WEEKLY,5/5/2026,Cust emailed back stating that they do not owe and they have reached out to Jordan mailed a copy of tcp asking for payment date waiting on response ,,,,15
Sylvia,Bakersfield,Tierra Construction,Active,Contacted,COLLECTION TEAM,WEEKLY,5/15/2026,"$1,524.00 with Credit Card today Paid in full.  -following up on payment with Raul, also left a message regarding payment update on the Feb-28 & March-28 invoices. (bakersfield job)",,,,5
Sylvia,bakersfield,CENTRAL VALLEY PIPELINE & EXCAVATION,Active,Contacted,COLLECTION TEAM,WEEKLY,5/13/2026,"emailed Lacey balance report, asking for payment information on those Feb, March invoices (bakersfield account)",,,,7
Josie,OC,SEA POINTE ESTATES HOMEOWNERS ASSOCIATION,Active,Contacted,COLLECTION TEAM,WEEKLY,5/5/2026,Requested up date on payment for invoice 00004391,,,,15
Sylvia,Arroyo Grande,HAYES CONSTRUCTION COMPANY.,Active,Contacted,COLLECTION TEAM,WEEKLY,5/14/2026,"following up with Lisa, see if any new update on payment. March-28 invoice (arroyo grande)",,,,6
Josie,Fresno,AMERICAN CONSTRUCTION & EXCAVATION,Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2026,Emailed status report asking for payment update  waiting on response ,,,,19
Josie,Bakersfield,CITY OF DELANO,Active,Contacted,COLLECTION TEAM,WEEKLY,5/5/2026,Emailed customer asking if he was able to locate check  50334,,,,15
Josie,Bakersfield,NICHOLAS CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Lui,OC / Bakersfield,W.A. RASIC CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,bryce working on it,,,,49
Sylvia,Bakersfield,RLH FIRE PROTECTION,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,5/19/2026,$551.00 Ck-10043 out yesterday as promise per Rebecca.,,,,1
Josie,O.C.,GOLDSMITH CONSTRUCTION,Active,Contacted,COLLECTION TEAM,DO NOT CALL,4/14/2026,Ask if we gave a discount being customer short paid  let her know yes 2%,,,,36
Josie,,"WGJ ENTERPRISES, INC (PCI)",Active,Uncollectable,VP/HIGH LEVEL,WEEKLY,5/4/2026,Reached  out to Bryce asking if he responded to customer   ,,,,16
Josie,O.C,"SHOFFEIT PIPELINE, INC.",Active,Contacted,COLLECTION TEAM,BI-WEEKLY,5/5/2026,Called left voice mail on past due invoice 00003816,,,,15
Josie,Bakersfield,ERNESTO SILVA ESCOBAR,ON HOLD,Uncollectable,VP/HIGH LEVEL,WEEKLY,,,,,,DATE NEEDED
Sylvia,Bakersfield,LASAR CONSTRUCTION,Active,Contacted,COLLECTION TEAM,MONTHLY,5/15/2026,"emailed balance report to Kirstin, asking for payment information on the Jan-3 invoice for $710.20, i know account is on a monthly terns, waiting for response. (bakersfield account)",,,,5
Josie,bakersfield,BAKERSFIELD HOUSE ACCOUNT,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Josie,Bakersfield,"FAMILIA VIVA MARKET, LP",Active,Contacted,COLLECTION TEAM,WEEKLY,5/4/2026,Emailed invoice asking for payment  being terms said credit card waiting on response ,,,,16
Josie,Bakersfield,KLASSEN CORPORATION,Active,Contacted,COLLECTION TEAM,WEEKLY,4/3/2026,sarahbeth said she would work on fixing the proble with portal,,,,47
Josie,,GPHI,Active,Uncollectable,VP/HIGH LEVEL,WEEKLY,,,,,,DATE NEEDED
Lui,Bakersfield,"HERMAN WEISSKER, INC",Active,Contacted,COLLECTION TEAM,WEEKLY,4/8/2026,requested update on payment,,,,42
Josie,Bakersfield ,WONDERFUL REAL ESTATE DEVELOPMENT,Active,Roadblock,COLLECTION TEAM,WEEKLY,5/6/2026,wanted to know what job the tcp let her know it was for Driver Rd & Express  waiting on response ,,,,14
Sylvia,Bakersfield,W. M. LYLES CO.,Active,Contacted,COLLECTION TEAM,WEEKLY,3/27/2026,"receptionist mention i will have to call back, Accouning dept in a meeting.",,,,54
Josie,Bakersfield,"CURTIS ELECTRICAL CONSTRUCTION, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,5/5/2026,"Called number we have in TCR no answer, reached out to Bako for help waiting on response ",,,,15
Sylvia,Bakersfield,LOUIS DUARTE,Active,Contacted,COLLECTION TEAM,WEEKLY,5/14/2026,"left message for Louis or someone in A/P regerding Feb-28 invoice, also following up by email again, i cannot get a hold of accounting (bakersfield account)",,,,6
Sylvia,,"GANEM CONSTRUCTION, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,Bakersfield,BRASWELL,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,5/13/2026,"emailed balance report to Emily, April invoices (bakersfield job)",,,,7
Josie,Bakersfield,"USA DIRECTIONAL BORE, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,,SO CAL GAS,Active,Contacted,COLLECTION TEAM,WEEKLY,10/20/2025,Joan not available and not able to live message for the April-invoice,,,,212
Josie,Bakersfield,TRINITY SAFETY CO.,Active,Contacted,COLLECTION TEAM,WEEKLY,4/22/2026,said those invoices need to go to her need to have the name removed from invoices ,,,,28
Josie,Bakersfield ,BAKERSFIELD CONCRETE LP,Active,Contacted,COLLECTION TEAM,WEEKLY,5/8/2026,Said check # 8430 for $126.00 went out today 5/8/26,,,,12
